symbol,entry_timestamp,entry_price,entry_qty,entry_side,exit_timestamp,exit_price,exit_qty,exit_side,pnl,charges,pat
NIFTY02JAN2523750CE,2025-01-02 09:30:00,124.276,75,SELL,2025-01-02 15:15:00,438.438,75,BUY,-23562.15,50.0,-23612.15
NIFTY02JAN2523750PE,2025-01-02 09:30:00,104.645,75,SELL,2025-01-02 15:15:00,0.2,75,BUY,7833.375,50.0,7783.375
NIFTY30JAN25FUT,2025-01-02 11:00:00,24016.26,1,SELL,2025-01-02 15:15:00,24309.235,1,BUY,-292.975,200.0,-492.975
NIFTY30JAN25FUT,2025-01-09 13:30:00,23659.586,1,BUY,2025-01-09 15:15:00,23621.855,1,SELL,-37.731,200.0,-237.731
NIFTY30JAN25FUT,2025-01-16 14:30:00,23396.423,1,BUY,2025-01-16 15:15:00,23337.839,1,SELL,-58.584,200.0,-258.584
NIFTY30JAN25FUT,2025-01-23 09:45:00,23213.763,1,SELL,2025-01-23 15:15:00,23282.709,1,BUY,-68.946,200.0,-268.946
NIFTY30JAN25FUT,2025-01-30 10:30:00,23276.75,1,SELL,2025-01-30 11:00:00,23273.25,1,BUY,3.5,200.0,-196.5
NIFTY30JAN25FUT,2025-01-30 11:15:00,23256.72,1,SELL,2025-01-30 11:30:00,23281.408,1,BUY,-24.688,200.0,-224.688
NIFTY30JAN25FUT,2025-01-30 13:15:00,23238.338,1,SELL,2025-01-30 13:30:00,23246.924,1,BUY,-8.586,200.0,-208.586
NIFTY30JAN25FUT,2025-01-30 13:45:00,23208.169,1,SELL,2025-01-30 14:00:00,23214.541,1,BUY,-6.372,200.0,-206.372
NIFTY30JAN25FUT,2025-01-30 15:00:00,23170.556,1,SELL,2025-01-30 15:15:00,23263.34,1,BUY,-92.784,200.0,-292.784
NIFTY09JAN2523600CE,2025-01-09 09:30:00,44.555,75,SELL,2025-01-09 15:15:00,0.1,75,BUY,3334.125,50.0,3284.125
NIFTY09JAN2523600PE,2025-01-09 09:30:00,42.907,75,SELL,2025-01-09 15:15:00,80.08,75,BUY,-2787.975,50.0,-2837.975
NIFTY16JAN2523350CE,2025-01-16 09:30:00,29.321,75,SELL,2025-01-16 15:15:00,0.1,75,BUY,2191.575,50.0,2141.575
NIFTY16JAN2523350PE,2025-01-16 09:30:00,44.206,75,SELL,2025-01-16 15:15:00,47.898,75,BUY,-276.9,50.0,-326.9
NIFTY23JAN2523100PE,2025-01-23 09:30:00,34.565,75,SELL,2025-01-23 15:15:00,0.15,75,BUY,2581.125,50.0,2531.125
NIFTY23JAN2523100CE,2025-01-23 09:30:00,54.745,75,SELL,2025-01-23 15:15:00,104.655,75,BUY,-3743.25,50.0,-3793.25
NIFTY30JAN2523150CE,2025-01-30 09:30:00,125.574,75,SELL,2025-01-30 15:15:00,91.341,75,BUY,2567.475,50.0,2517.475
NIFTY30JAN2523150PE,2025-01-30 09:30:00,121.628,75,SELL,2025-01-30 15:15:00,0.2,75,BUY,9107.1,50.0,9057.1
